Occupation,Country,Expertise areas,Previous Involvement,Previous Training in Teaching,Previous Experience in Teaching
faculty,FR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics",learner,workshops,Primary instructor for a full course
librarian,CA,Library and information science,learner,workshops,Primary instructor for a full course
research,US,"Computer science/electrical engineering, Library and information science",Unknown,workshops,Primary instructor for a full course
grad,AU,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",learner,workshops,Primary instructor for a full course
support,GB,"Genetics, genomics, bioinformatics, Medicine",learner,workshops,Primary instructor for a full course
research,NZ,"Genetics, genomics, bioinformatics","helper, learner",workshops,Primary instructor for a full course
research,AU,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics",helper,workshops,Primary instructor for a full course
research,NZ,"Genetics, genomics, bioinformatics","helper, instructor, learner",workshops,Primary instructor for a full course
faculty,US,"Civil, mechanical, chemical, or nuclear engineering, High performance computing",Unknown,workshops,Primary instructor for a full course
faculty,US,"Computer science/electrical engineering, Medicine, Physics","helper, host, learner",workshops,Primary instructor for a full course
faculty,ZA,Unknown,learner,workshops,Primary instructor for a full course
grad,CO,"Computer science/electrical engineering, Mathematics/statistics",Unknown,workshops,Primary instructor for a full course
grad,MX,Computer science/electrical engineering,helper,workshops,Primary instructor for a full course
grad,MX,Computer science/electrical engineering,"helper, learner",workshops,Primary instructor for a full course
faculty,MX,"Genetics, genomics, bioinformatics",learner,workshops,Primary instructor for a full course
undergrad,CR,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,workshops,Primary instructor for a full course
undergrad,CR,"Organismal biology (ecology, botany, zoology, microbiology)",Unknown,workshops,Primary instructor for a full course
grad,MX,"Education, Genetics, genomics, bioinformatics",helper,workshops,Primary instructor for a full course
support,MX,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",contributor,workshops,Primary instructor for a full course
support,US,"Mathematics/statistics, Physics, Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,workshops,Primary instructor for a full course
grad,SA,"Computer science/electrical engineering, Economics/business, High performance computing, Mathematics/statistics, Planetary sciences (geology, climatology, oceanography, etc.), Social sciences",Unknown,workshops,Primary instructor for a full course
undergrad,CR,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,workshops,Primary instructor for a full course
postdoc,NZ,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",learner,workshops,Primary instructor for a full course
librarian,NZ,Library and information science,learner,workshops,Primary instructor for a full course
research,NZ,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)","helper, learner",workshops,Primary instructor for a full course
grad,NZ,"Genetics, genomics, bioinformatics","helper, instructor",workshops,Primary instructor for a full course
research,NZ,"Genetics, genomics, bioinformatics","helper, instructor, learner",workshops,Primary instructor for a full course
faculty,CA,"Education, Physics",Unknown,workshops,Primary instructor for a full course
postdoc,US,"Planetary sciences (geology, climatology, oceanography, etc.)",Unknown,workshops,Primary instructor for a full course
commerce,US,"Humanities, Library and information science, Mathematics/statistics",Unknown,workshops,Primary instructor for a full course
librarian,GB,"Computer science/electrical engineering, Economics/business, Education, Humanities, Library and information science, Mathematics/statistics",Unknown,workshops,Primary instructor for a full course
faculty,US,Mathematics/statistics,Unknown,workshops,Primary instructor for a full course
postdoc,US,"Organismal biology (ecology, botany, zoology, microbiology)",learner,workshops,Primary instructor for a full course
faculty,US,Computer science/electrical engineering,learner,workshops,Primary instructor for a full course
postdoc,US,"Mathematics/statistics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,workshops,Primary instructor for a full course
grad,US,"Education, Mathematics/statistics, Physics",helper,workshops,Primary instructor for a full course
postdoc,US,"Genetics, genomics, bioinformatics, Organismal biology (ecology, botany, zoology, microbiology)",Unknown,workshops,Primary instructor for a full course
research,US,"Computer science/electrical engineering, High performance computing","helper, learner",workshops,Primary instructor for a full course
librarian,NZ,"Humanities, Library and information science",learner,workshops,Primary instructor for a full course
Unknown,US,"Genetics, genomics, bioinformatics, High performance computing, Mathematics/statistics, Medicine",Unknown,workshops,Primary instructor for a full course
grad,US,"Genetics, genomics, bioinformatics",Unknown,workshops,Primary instructor for a full course
grad,US,"Civil, mechanical, chemical, or nuclear engineering, Economics/business",learner,workshops,Primary instructor for a full course
commerce,AR,Computer science/electrical engineering,contributor,workshops,Primary instructor for a full course
postdoc,US,"High performance computing, Physics",learner,workshops,Primary instructor for a full course
research,EC,"Computer science/electrical engineering, Genetics, genomics, bioinformatics, Mathematics/statistics",host,workshops,Primary instructor for a full course
